id,camber_pct,camber_pos_pct,thickness_pct,aoa_deg,flap_angle_deg,flap_chord_pct,aspect_ratio,endplate_h_pct,Cl,Cd,Cd_pressure,Cd_friction,Cm,Cl_3d,Cd_induced,Cd_3d,Cl_Cd,downforce_N,drag_N,efficiency,converged,stall_flag,x_tr_upper,x_tr_lower,Re,airfoil_name,t_max_pct,camber_actual,evaluated_at
229,5.332460263117013,32.52880361179385,10.675371216040835,-7.377464454801903,10.48324818451743,32.14615036009665,2.327657086411732,28.6733052866612,-0.6162624131717196,0.011533818300915618,0.0,0.011533818300915618,0.009242504451623975,-0.3960014495994164,0.015658388409946662,0.027192206710862282,-53.430910483720496,-168.4650677597424,11.567980245315463,14.563049399048165,1,0,0.3661510634671816,0.7259842510516646,713039.0143737167,NACA 5311 (inv)+flap10°,10.68290088866593,5.848929026062328,2026-03-24 14:48:53
230,8.982420554093213,22.213091167070058,17.63719589916441,-3.960011101474418,22.932767086766965,29.323238645731834,5.449992022796726,24.26961495288303,0.09503140714807246,0.01206447089506584,0.0,0.01206447089506584,-0.05057700766559239,0.0759547461409219,0.0002617756383695588,0.012326246533435399,7.876964350499503,32.31230963484659,5.243773626533574,6.162033668148032,1,0,0.5412976132378289,0.8057508076297237,713039.0143737167,NACA 9218 (inv)+flap23°,17.646040797148626,11.42582065429063,2026-03-24 14:48:53
231,2.4174627090375354,55.13336082056116,17.09692157163906,-6.303975853521141,17.727894488250175,34.25454132366823,2.768998095361857,28.558014121315296,0.1626781261598822,0.012094544905481659,0.0,0.012094544905481659,-0.06612586121214573,0.11079927976294682,0.0010320767940406295,0.013126621699522289,13.450537199308007,47.135706679552,5.584265452319663,8.440806956978053,1,0,0.514519885781157,0.7949229400691132,713039.0143737167,NACA 2617 (inv)+flap18°,17.113406336749666,10.430399203327385,2026-03-24 14:48:53
232,0.21115717119050662,27.309582433951615,9.513404741282095,-17.739718758080485,21.68854721120921,25.374866923186147,2.837066582104542,13.022722821868147,-0.8475632163144373,0.011668382734119923,0.0,0.011668382734119923,-0.1539305089712501,-0.5415310653227567,0.03043616197660825,0.04210454471072817,-72.63759131212318,-230.37559005374442,17.91191669843922,12.861582260139615,1,0,0.30783698937836096,0.6931650659247311,713039.0143737167,NACA 0310 (inv)+flap22°,9.515774961458598,9.377561870626122,2026-03-24 14:48:53
233,0.6559640792268855,53.98774820782303,14.689244615879918,-15.416975401118188,25.841230504707486,33.03395442451664,2.61314675708823,6.340068532063375,-0.3362122461539896,0.011893338929480898,0.0,0.011893338929480898,-0.12904803921489738,-0.19976052765647956,0.005055675868461695,0.016949014797942592,-28.26895358380778,-84.98118090580928,7.2103698844654,11.785966915358888,1,0,0.4517295297520434,0.7678069660199873,713039.0143737167,NACA 1515 (inv)+flap26°,14.693096227230908,14.398802503912187,2026-03-24 14:48:53
234,5.225567384620635,40.363082811240325,12.653927082058264,-9.752518973888279,31.762877007027512,27.851744295827576,3.0881062594762936,29.436945219903716,0.007555042037920274,0.010616638330450874,0.0,0.010616638330450874,-0.08096462407088083,0.005337956079109245,2.122235559968563e-06,0.010618760566010844,0.7116228134333952,2.27084808269094,4.517383004751842,0.5026910669965844,1,0,0.5780015314930929,0.8199716742384123,713039.0143737167,NACA 5413 (inv)+flap32°,12.686009009207725,14.661298117986194,2026-03-24 14:48:53
236,8.344647513944775,37.42743558721895,18.613814968844757,-5.453559436864499,32.537197263357854,32.47683316651214,2.7307414217259742,7.725761483813124,0.3913696185581845,0.013112446254279065,0.0,0.013112446254279065,-0.031136240316717814,0.23883601336141616,0.00674314672741812,0.019855592981697184,29.847185717193423,101.60448961764862,8.44687265780254,12.028651754776318,1,0,0.4334236195647013,0.759383470280771,713039.0143737167,NACA 8419 (inv)+flap33°,18.69967212706766,17.46756849682677,2026-03-24 14:48:53
237,2.5039553930124447,55.499407689915785,14.809740070145185,-16.252957657024503,8.542085776060603,31.667926207827737,3.4045248232229497,29.223597233895926,-1.4971951622747381,0.013864855193488464,0.0,0.013864855193488464,-0.0074546895980611505,-1.0867169000318446,0.08001580348142343,0.09388065867491188,-107.98491158983657,-462.3059748511377,39.938266743712404,11.575514225937706,1,0,0.18911332303117823,0.60870988323944,713039.0143737167,NACA 3615 (inv)+flap9°,14.824842240508081,4.703821966924297,2026-03-24 14:48:53
238,3.5732092741026102,24.87896261269125,18.65995158870352,-11.02668433369437,2.4904207055683703,20.65839814896315,2.1268386654767646,29.72557726114965,-1.436213308207172,0.01505345559553269,0.0,0.01505345559553269,0.03967566550388808,-0.8970989845615127,0.08669164764216568,0.10174510323769836,-95.40754938908427,-381.6396161535012,43.283921633366916,8.817121964736694,1,0,0.19796352938117173,0.6161793925545069,713039.0143737167,NACA 4219 (inv)+flap2°,18.66488587197003,3.573199997811269,2026-03-24 14:48:53
239,2.181250939153414,57.55866421325314,13.434866014594554,-3.6299140364893017,11.514784845391343,29.90060364813463,3.534369478446903,25.56617530426033,0.08134100494378628,0.010980013271457383,0.0,0.010980013271457383,-0.038998507674856575,0.058905867968875696,0.00023831151742988925,0.011218324788887271,7.408097142763276,25.059456345075223,4.772446786804583,5.250861343150547,1,0,0.5468841815721781,0.8079600413058243,713039.0143737167,NACA 2613 (inv)+flap12°,13.445806373682935,5.968782172370977,2026-03-24 14:48:53
241,2.876095271730934,46.864374777615986,14.063275495128142,-9.866349671191195,16.679680347818227,33.61601343781051,5.0104757222414715,15.891670338071785,-0.32119551877855573,0.011703309445829374,0.0,0.011703309445829374,-0.05886968816604377,-0.24582712151305616,0.00338835766587187,0.015091667111701243,-27.44484543156448,-104.57861385298439,6.420225797537011,16.28893081815033,1,0,0.4568459118096264,0.7701164219081125,713039.0143737167,NACA 3514 (inv)+flap17°,14.079146363318415,9.648495573520858,2026-03-24 14:48:53
242,8.963942255092764,23.738543044065366,17.124283204177637,-6.419133539781077,26.08919472677123,32.88925258334589,2.6685967398053396,16.245880720114002,0.03600549760095747,0.01175575813805123,0.0,0.01175575813805123,-0.04637466765812276,0.022894274486448093,5.4867471649245594e-05,0.011810625609700476,3.062796731451482,9.73957420249631,5.024420606631213,1.9384472290480725,1,0,0.5657988784560292,0.8153192097285016,713039.0143737167,NACA 9217 (inv)+flap26°,17.13154177296791,14.463700200876891,2026-03-24 14:48:53
243,5.805035560446839,47.84025457240313,11.112365087136565,-5.645097362785203,18.727011122873837,25.506989380500077,3.9820573939817527,14.3702702801431,-0.171941910364935,0.010705736513671979,0.0,0.010705736513671979,-0.014620568056658052,-0.12329722550674568,0.0010993297423738514,0.01180506625604583,-16.06072689584253,-52.45252377382398,5.022055572636823,10.444433163905403,1,0,0.5109574747460136,0.7934515046807322,713039.0143737167,NACA 6511 (inv)+flap19°,11.161217893411301,8.189261286375341,2026-03-24 14:48:53
244,8.00764070790571,27.416542958094308,16.3949870680688,-7.116771720260703,8.866313580062236,32.77875952685172,3.3483334940147502,9.90342542748671,-0.9336425055495554,0.013536357582553216,0.0,0.013536357582553216,0.05649612704073074,-0.6213025045967688,0.03580369614075939,0.04934005372331261,-68.97294932226906,-264.311579268387,20.99001279458811,12.592254318993787,1,0,0.2885911327100008,0.6813337698583913,713039.0143737167,NACA 8316 (inv)+flap9°,16.39950660382201,8.007452702956671,2026-03-24 14:48:53
246,2.4423944050542015,27.047705031904705,13.84482985272298,-8.945126395412831,31.81002707143923,30.996753361668507,3.1526068771607796,14.32368285056793,0.40132973157171375,0.011831674643817338,0.0,0.011831674643817338,-0.12230848059115176,0.2677888264206147,0.0065550462003616545,0.018386720844178993,33.91994317401462,113.92145870649163,7.821992005401604,14.564251488344825,1,0,0.43019797132222487,0.7578722669192013,713039.0143737167,NACA 2314 (inv)+flap32°,13.84830723644769,16.33852890288871,2026-03-24 14:48:53
247,1.1824456697601893,59.165322707305805,19.837160626923776,-8.98314740613991,15.102280452745465,21.472091828385636,2.72850332734333,22.534778679012796,-0.32004548865481236,0.01336232315121839,0.0,0.01336232315121839,-0.10102775644020241,-0.2114955413006241,0.004158096849403376,0.01752042000062177,-23.951335784423854,-89.97343502690435,7.453454389042321,12.071373933565434,1,0,0.45724012171302875,0.7702935736971176,713039.0143737167,NACA 1620 (inv)+flap15°,19.844093735378856,5.594401838595147,2026-03-24 14:48:53
248,2.1088612380719742,27.23935687319223,19.728663305720485,-11.654644615870255,31.070158224946983,21.783700112550964,5.414565568031378,8.212399667820842,-0.10609652849133241,0.012737057003732144,0.0,0.012737057003732144,-0.16796170874773256,-0.08040552516573682,0.0003820770463861613,0.013119134050118306,-8.329752191596896,-34.205739042131746,5.5810800918481815,6.128874425596081,1,0,0.5368240587413404,0.8039696331560598,713039.0143737167,NACA 2320 (inv)+flap31°,19.733586308432056,11.242290605874292,2026-03-24 14:48:53
250,8.514887447907219,25.11151277977232,8.631089969515534,-9.81135195764156,23.024881188478492,34.694720885001956,4.448739501851831,25.3419562269695,-0.39841823535536364,0.010705224966403724,0.0,0.010705224966403724,-0.021681867772708897,-0.3056635516420348,0.005114202788582403,0.015819427754986126,-37.217175407870656,-130.0339455604225,6.72982629573691,19.322035940629565,1,0,0.43113838752972594,0.7583137038784541,713039.0143737167,NACA 9309 (inv)+flap23°,8.634177330343487,13.570174936103871,2026-03-24 14:48:53
251,4.0362443015090745,54.56809858757919,6.52739225698277,-15.370217052757559,29.44790440048815,24.63748153451499,4.931845004860879,28.951952054671118,-0.7042483045570591,0.010827279535011277,0.0,0.010827279535011277,-0.08460476826807478,-0.5582112507556071,0.014628520256121389,0.025455799791132667,-65.04388311761876,-237.47159581845244,10.829286208496548,21.928647119154967,1,0,0.34276893848179174,0.7133207247062551,713039.0143737167,NACA 4507 (inv)+flap29°,6.543564311600238,12.112574190724045,2026-03-24 14:48:53
